template_id,template
1,Receiving block <*> src: <*> dest: <*>
2,BLOCK* NameSystem.allocateBlock: <*> <*>
3,PacketResponder <*> for block <*> <*>
4,Received block <*> of size <*> from <*>
5,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
6,Received block <*> src: <*> dest: <*> of size <*>
7,<*> block <*> to <*>
8,<*> Starting thread to transfer block <*> to <*> <*>
9,BLOCK* ask <*> to replicate <*> to datanode(s) <*> <*>
10,<*> Served block <*> to <*>
11,BLOCK* ask <*> to replicate <*> to datanode(s) <*>
12,<*> Starting thread to transfer block <*> to <*>
13,Verification succeeded for <*>
14,writeBlock <*> received exception <*>
15,PacketResponder <*> <*> Exception <*>
16,writeBlock <*> received exception java.io.IOException: Could not read from stream
17,Deleting block <*> file <*>
18,Receiving empty packet for block <*>
19,Exception in receiveBlock for block <*> java.io.IOException: Connection reset by peer
20,writeBlock <*> received exception java.io.IOException: Connection reset by peer
21,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for <*> on <*> size <*>
22,PacketResponder <*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> <*>
23,PacketResponder <*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.
24,Exception in receiveBlock for block <*> <*>
25,Changing block file offset of block <*> from 0 to <*> meta file offset to <*>
26,<*> writing block <*> to mirror <*>
27,Exception in receiveBlock for block <*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.
28,writeBlock <*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.
29,PacketResponder <*> <*> Exception java.io.IOException: Broken pipe
30,"writeBlock <*> received exception java.io.IOException: Block <*> is valid, and cannot be written to."
31,<*> to transfer <*> to <*> got java.io.IOException: Connection reset by peer
32,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>
33,Unexpected error trying to delete block <*> BlockInfo not found in volumeMap.
34,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for <*> on <*> size <*> But it does not belong to any file.
35,<*> exception while serving <*> to <*>
36,PacketResponder <*> <*> Exception java.io.IOException: Connection reset by peer
37,Exception in receiveBlock for block <*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> <*>
38,writeBlock <*> received exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> <*>
39,Reopen Block <*>
40,BLOCK* Removing block <*> from neededReplications as it does not belong to any file.
41,PendingReplicationMonitor timed out block <*>
42,writeBlock <*> received exception java.io.IOException: <*> <*>
43,PacketResponder <*> 1 Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.
44,writeBlock blk_1684134505299265593 received exception java.net.NoRouteToHostException: No route to host
45,Adding an already existing block <*>
46,Exception in receiveBlock for block <*> java.io.IOException: Broken pipe
47,PacketResponder <*> 1 Exception java.io.IOException: The stream is closed
