template_id,template
1,onStandStepChanged <*>
2,<*> <*> 0 4
3,onReceive action: <*>
4,processHandleBroadcastAction <*>
5,flush sensor data
6,getTodayTotalDetailSteps = <*>
7,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954
8,calculateCaloriesWithCache <*>
9,calculateAltitudeWithCache <*>
10,REPORT : <*> <*> <*> 240
11,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269
12,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951
13,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461
14,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464
15,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966
16,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463
17,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962
18,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330
19,isScreenOn <*>
20,"screen status unknown,think screen on"
21,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417
22,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732
23,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468
24,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976
25,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971
26,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468
27,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973
28,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469
29,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974
30,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972
31,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467
32,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977
33,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469
34,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468
35,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968
36,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471
37,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469
38,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969
39,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469
40,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970
41,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969
42,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478
43,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971
44,setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971
45,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480
46,setTodayTotalDetailSteps=1514038440000##7042##548365##8661##15591##27195470
47,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480
48,setTodayTotalDetailSteps=1514038440000##7045##548365##8661##15781##27196970
