template_id,template
1,restart.
2,syslogd <*> succeeded
3,klogd <*> succeeded
4,"klogd 1.4.1, log source = /proc/kmsg started."
5,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004
6,BIOS-provided physical RAM map:
7,BIOS-e820: <*> - <*> <*>
8,0MB HIGHMEM available.
9,126MB LOWMEM available.
10,zapping low mappings.
11,On node 0 totalpages: 32430
12,"DMA zone: 4096 pages, LIFO batch:1"
13,"Normal zone: 28334 pages, LIFO batch:6"
14,"HighMem zone: 0 pages, LIFO batch:1"
15,DMI 2.3 present.
16,ACPI disabled because your bios is from 2000 and too old
17,You can enable it with acpi=force
18,Built 1 zonelists
19,irqbalance startup succeeded
20,Kernel command line: ro root=LABEL=/ rhgb quiet
21,mapped 4G/4G trampoline to ffff3000.
22,Initializing CPU#0
23,portmap <*> succeeded
24,"CPU 0 irqstacks, hard=02345000 soft=02344000"
25,PID hash table entries: 512 (order 9: 4096 bytes)
26,Detected <*> MHz processor.
27,Using tsc for high-res timesource
28,Console: colour VGA+ 80x25
29,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)"
30,Calibrating delay loop... <*> BogoMIPS
31,Security Scaffold v1.0.0 initialized
32,SELinux: Initializing.
33,SELinux: Starting in permissive mode
34,"There is already a security framework initialized, register_security failed."
35,Failure registering capabilities with the kernel
36,selinux_register_security: Registering secondary module capability
37,Capability LSM initialized
38,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)"
39,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)"
40,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)"
41,Version 1.0.6 Starting
42,rpc.statd <*> succeeded
43,"CPU: L1 I cache: 16K, L1 D cache: 16K"
44,CPU: L2 cache: 256K
45,Intel machine check architecture supported.
46,Intel machine check reporting enabled on CPU#0.
47,CPU: Intel Pentium III (Coppermine) stepping 06
48,Enabling fast FPU save and restore... done.
49,Enabling unmasked SIMD FPU exception support... done.
50,Checking 'hlt' instruction... OK.
51,POSIX conformance testing by UNIFIX
52,NET: Registered protocol family <*>
53,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1"
54,PCI: Using configuration type 1
55,mtrr: v2.0 (20020519)
56,ACPI: Subsystem revision 20040326
57,ACPI: Interpreter disabled.
58,Linux Plug and Play Support v0.97 (c) Adam Belay
59,usbcore: registered new driver <*>
60,rpc.idmapd startup succeeded
61,ACPI: ACPI tables contain no PCI IRQ routing entries
62,PCI: Invalid ACPI-PCI IRQ routing table
63,Initializing random number generator: succeeded
64,PCI: Probing PCI hardware
65,PCI: Probing PCI hardware (bus 00)
66,Transparent bridge - 0000:00:1e.0
67,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0
