template_id,template
1,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us
2,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
3,AirPort: Link Down on awdl0. Reason 1 (Unspecified).
4,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>
5,Bluetooth -- LE is supported - Disable LE meta event
6,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>
7,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will <*> <*>
8,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>
9,ARPT: <*> AirPort_Brcm43xx::syncPowerState: <*>
10,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0
11,AppleCamIn::systemWakeCall - messageType = <*>
12,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0
13,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>
14,Wake reason: <*>
15,AppleCamIn::wakeEventHandlerThread
16,RTC: PowerByCalendarDate setting ignored
17,Previous <*> cause: <*>
18,TBT W (2): 0x0040 [x]
19,AirPort: Link Down on en0. Reason <*> (Disassociated <*> <*> <*>
20,en0: <*> changed to <*>
21,en0::IO80211Interface::postMessage bssid changed
22,en0: 802.11d country code set to <*>
23,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161
24,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.
25,ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>
26,AirPort: Link Up on <*>
27,setting hostname to <*>
28,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3"
