template_id,template
1,"<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec"
2,"<*> close, <*> bytes <*> <*> <*> <*> <*> received, lifetime <1 sec"
3,<*> open through proxy <*> <*>
4,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
5,"<*> close, <*> bytes <*> KB) sent, <*> bytes <*> KB) received, lifetime <1 sec"
6,"proxy.cse.cuhk.edu.hk:5070 close, <*> bytes <*> <*> <*> <*> <*> received, lifetime <*>"
7,"<*> close, <*> bytes <*> <*> sent, <*> bytes <*> <*> received, lifetime <*>"
8,<*> error : A connection request was canceled before the completion.
9,<*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy closed the connection unexpectedly.
10,"<*> close, <*> bytes sent, <*> bytes <*> <*> received, lifetime <*>"
11,"<*> error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code <*>"
12,"<*> close, <*> bytes <*> KB) sent, <*> bytes received, lifetime <*>"
13,"<*> (IPv6) error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 503"
14,<*> error : Could not connect to proxy proxy.cse.cuhk.edu.hk:5070 - <*> <*> <*> <*> error <*>
