template_id,template
1,<*> tftp: client does not accept options
2,<*> warning: unable to look up public/pickup: No such file or directory
3,<*> Connection broken to <*> reopening in 60 seconds
4,<*> My unqualified host name <*> unknown; sleeping for retry
5,<*> synchronized to <*> stratum <*>
6,ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change
7,ib_sm.x[24904]: [ib_sm_sweep.c:1482]: No configuration change required
8,<*> session opened for user <*> by <*>
9,<*> <*> <*> for <*> from <*> port <*> ssh2
10,xinetd[18274]: START: <*> <*> from=10.100.4.251
11,logger: Kickstart Install: Torque Mom and Maui speconf Tree
12,logger: Kickstart: <*> <*>
13,logger: Kickstart Install: <*> <*> <*> <*>
14,logger: Kickstart: setup firstboot for <*> <*> <*>
15,<*> pam_timestamp: updated timestamp file <*>
16,<*> running '/usr/sbin/up2date --nox -i <*> with root privileges on behalf of 'root'
17,ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
18,gmond: gmond <*> <*>
19,logger: Kickstart Install: Setup to become a Tbird login
20,logger: Kickstart Install: <*> <*> <*>
21,<*> kernel time sync <*> <*>
22,mysql_install_db: Installing all prepared tables
23,nfs: Starting NFS services: succeeded
24,nfs: <*> <*> succeeded
25,ntpd: <*>
26,ntpd: ntpd <*> <*>
27,<*> Listening on interface <*> <*>
28,<*> ntpd #2#@1.1190-r Mon Oct 11 09:15:58 EDT 2004 (1)
29,<*> precision = 1.000 usec
30,<*> signal_no_reset: signal 13 had flags 4000000
31,<*> step time server <*> offset <*> sec
32,mysql_install_db:
33,mysql_install_db: /usr/bin/mysqladmin -u root -h tbird-admin1 password 'new-password'
34,mysql_install_db: /usr/bin/mysqladmin -u root password 'new-password'
35,mysql_install_db: Fill help tables
36,mysql_install_db: PLEASE REMEMBER TO SET A PASSWORD FOR THE MySQL root USER !
37,mysql_install_db: Please report any problems with the /usr/bin/mysqlbug script!
38,mysql_install_db: See the manual for more instructions.
39,mysql_install_db: Support MySQL by buying support/licenses at https://#4#
40,mysql_install_db: The latest information about MySQL is available on the web at
41,"mysql_install_db: To do so, start the server, then issue the following commands:"
42,mysql_install_db: To start mysqld at boot time you have to copy support-files/mysql.server
43,mysql_install_db: You can start the MySQL daemon with:
44,mysql_install_db: You can test the MySQL daemon with the benchmarks in the 'sql-bench' directory:
45,mysql_install_db: cd <*> ; <*> <*>
46,mysql_install_db: http://#5#
47,mysql_install_db: to the right place for your system
48,mysqld: Initializing MySQL database: succeeded
49,mysqld: <*> MySQL: succeeded
50,dhcpd: All rights reserved.
51,dhcpd: Copyright 2004 Internet Systems Consortium.
52,"dhcpd: For info, please visit http://#6#/sw/dhcp/"
53,dhcpd: Internet Systems Consortium DHCP Server V3.0.1
54,dhcpd: <*> on <*>
55,dhcpd: Wrote 0 deleted host decls to leases file.
56,dhcpd: Wrote 0 leases to leases file.
57,dhcpd: Wrote 0 new dynamic host decls to leases file.
58,dhcpd: dhcpd <*> succeeded
59,httpd: httpd <*> succeeded
60,kernel: <*> avc: denied { read write } for <*> comm=ntpdate <*> <*> <*> scontext=user_u:system_r:ntpd_t <*> <*>
61,logger: setup NTP client
62,kernel: <*> avc: denied { <*> } for <*> <*> <*> <*> <*> scontext=user_u:system_r:ntpd_t <*> <*>
63,kernel: <*> avc: denied { read } for <*> comm=ntpdate path=/tmp/biosdev (deleted) dev=ramfs <*> scontext=user_u:system_r:ntpd_t tcontext=user_u:object_r:ramfs_t tclass=blk_file
64,"<*> configure: keyword ""authenticate"" unknown, line ignored"
65,<*> frequency initialized <*> PPM from /var/lib/ntp/drift
66,<*> data_thread() got not answer from any <*> datasource
67,<*> running '/usr/sbin/up2date --nox -i -f kernel-devel' with root privileges on behalf of 'root'
68,<*> unable to qualify my own domain name <*> -- using short name
69,<*> session closed for user <*>
70,"<*> <*> from=root, <*> class=0, nrcpts=1, <*> relay=#7#@localhost"
71,"<*> <*> to=root, ctladdr=root (0/0), <*> <*> mailer=relay, <*> relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]"
72,logger: Kickstart: setup the cisco (topspin) ib stack
73,logger: Kickstart Install: TBIRD Dell FIRMWARE Update Module
74,logger: Kickstart/Yast Install: Finished installation on localhost.localdomain
75,exiting on signal 15
76,<*> Local disconnected: Connection closed.
77,<*> connection lost: 'Connection closed.'
78,<*> RRD_update <*> <*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
79,dhcpd: DHCPDISCOVER from <*> via eth1: network <*> no free leases
80,dhcpd: DHCPDISCOVER from <*> via <*>
81,dhcpd: <*> on <*> to <*> via <*>
82,dhcpd: DHCPREQUEST for <*> <*> from <*> via eth1: unknown lease <*>
83,dhcpd: DHCPREQUEST for <*> <*> from <*> via <*>
84,<*> START: tftp <*> <*>
85,kernel: Lustre: <*> maximum lustre stack <*>
86,kernel: Lustre: Echo OBD driver; #10#@#11#
87,"kernel: Lustre: OBD class driver Build Version: #12#-19691231170000-PRISTINE-.f3home.#13#.build.2.6.buildir.BUILD.lustre-kernel-2.6.9.lustre.linux-2.6.9-1.4.5.6smp, #10#@#11#"
88,"kernel: Lustre: Routing socket NAL loaded (Routing disabled, initial mem 0, incarnation <*>"
89,"<*> started, listening on port 988"
90,init: <*> to <*> <*>
91,shutdown: shutting down for system <*>
92,"rpc.mountd: Caught signal 15, un-registering and exiting."
93,nfs: Shutting down NFS services: succeeded
94,nfsd: last server has exited
95,nfsd: unexporting all filesystems
96,sshd: sshd -TERM succeeded
97,<*> Received signal 15; terminating.
98,netfs: <*> <*> filesystems: <*>
99,<*> ntpd exiting on signal 15
100,xinetd: xinetd <*> succeeded
101,<*> Exiting...
102,irqbalance: irqbalance startup succeeded
103,kernel:
104,kernel: Intel(R) Xeon(TM) CPU 3.60GHz stepping 03
105,"kernel: <*> zone: <*> pages, LIFO <*>"
106,kernel: Type: <*> ANSI SCSI revision: <*>
107,kernel: Vendor: MegaRAID Model: LD 0 RAID0 <*> Rev: <*>
108,kernel: Vendor: PE/PV Model: 1x2 SCSI BP Rev: 1.0
109,kernel: BIOS-e820: <*> - <*> <*>
110,kernel: BIOS-e820: <*> - <*> (ACPI data)
111,kernel: <*> kernel module initialized successfully
112,kernel: sda: sda1 sda2 sda3 sda4 < sda5 sda6 >
113,kernel: <*> <*> public key <*>
114,"kernel: - User ID: Red Hat, Inc. (Kernel Module GPG key)"
115,kernel: ACPI wakeup devices:
116,kernel: ACPI: (supports S0 S4 S5)
117,kernel: ACPI: <*> (v001 DELL PE BKC 0x00000001 MSFT <*> @ <*>
118,kernel: ACPI: HPET id: 0xffffffff base: 0xfed00000
119,kernel: ACPI: INT_SRC_OVR (bus 0 bus_irq <*> global_irq <*> <*> <*>
120,kernel: ACPI: IOAPIC <*> <*> <*>
121,kernel: ACPI: <*> used by override.
122,kernel: ACPI: Interpreter enabled
123,kernel: ACPI: LAPIC <*> <*> <*>
124,kernel: ACPI: LAPIC_NMI <*> high edge lint[0x1])
125,kernel: ACPI: Local APIC address 0xfee00000
126,kernel: ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 7 10 11 12) <*>
127,kernel: ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 <*> <*> <*> 12)
128,"kernel: ACPI: PCI Interrupt Link <*> (IRQs 3 4 5 6 7 10 11 12) *0, disabled."
129,kernel: ACPI: PCI <*> <*> <*> <*>
130,"kernel: ACPI: PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>"
131,kernel: ACPI: Power Button (FF) [PWRF]
132,kernel: ACPI: Processor <*> (supports C1)
133,kernel: ACPI: RSDP (v000 DELL ) @ <*>
134,kernel: ACPI: Subsystem revision 20040816
135,kernel: <*> Using <*> for <*> routing
136,kernel: Adding 13309844k swap on /dev/sda2. Priority:-1 extents:1
137,"kernel: Attached scsi disk sda at scsi0, channel <*> id 0, lun 0"
138,"kernel: Attached scsi generic <*> at scsi0, channel <*> id <*> lun 0, type <*>"
139,kernel: BIOS-provided physical RAM map:
140,kernel: Bootdata ok (command line is ro <*> tsc console=tty0 <*> rhgb quiet)
141,kernel: Booting processor 1/6 rip 6000 rsp <*>
142,kernel: <*> <*> node <*> 0000000000000000-00000001c0000000
143,kernel: Brought up 2 CPUs
144,kernel: Built 1 zonelists
145,kernel: CPU0: Intel(R) Xeon(TM) CPU 3.60GHz stepping 03
146,kernel: CPU: <*> <*> <*>
147,"kernel: CPU: Trace cache: 12K uops, L1 D cache: 16K"
148,kernel: Calibrating delay loop... <*> BogoMIPS <*>
149,kernel: Capability LSM initialized as secondary
150,kernel: Checking aperture...
151,kernel: Console: colour VGA+ 80x25
152,kernel: Copyright (c) 1999-2004 Intel Corporation.
153,kernel: DMI 2.3 present.
154,"kernel: Dentry cache hash table entries: 1048576 (order: 11, 8388608 bytes)"
155,kernel: Detected <*> MHz APIC timer.
156,kernel: <*> hash table entries: <*> <*> <*> <*> bytes)
157,kernel: EXT3 FS on <*> internal journal
158,kernel: EXT3-fs: <*> <*> <*> on readonly <*>
159,kernel: EXT3-fs: mounted filesystem with ordered data mode.
160,kernel: EXT3-fs: recovery complete.
161,kernel: EXT3-fs: write access #15# be enabled during recovery.
162,kernel: Freeing unused kernel memory: 188k freed
163,"kernel: IA32 emulation $Id: sys_ia32.c,v 1.32 2002/03/24 13:02:28 ak Exp $"
164,"kernel: <*> apic_id <*> version 32, address <*> GSI <*>"
165,"kernel: IP: routing cache hash table of 32768 buckets, 512Kbytes"
166,kernel: Initializing <*>
167,kernel: Initializing Cryptographic API
168,kernel: Initializing IPsec netlink socket
169,kernel: Intel E7520/7320/7525 detected.<6>pci_hotplug: PCI Hot Plug PCI Core version: 0.5
170,kernel: Intel(R) PRO/1000 Network Driver - version 6.0.54-k2-NAPI
171,kernel: Kernel command line: ro <*> tsc console=tty0 <*> rhgb quiet
172,kernel: Linux agpgart interface v0.100 (c) Dave Jones
173,kernel: Linux version <*> <*> (gcc version 3.4.3 20050227 (Red Hat 3.4.3-22.1)) #1 SMP Tue <*> <*> <*> <*> 2005
174,kernel: Loading keyring
175,"kernel: Mellanox Tavor Device Driver is creating device ""InfiniHost0"" (domain=00, bus=08, devfn=00)"
176,"kernel: Memory: <*> available <*> kernel code, 0k reserved, <*> data, 188k init)"
177,kernel: NET: Registered protocol family <*>
178,kernel: No NUMA configuration found
179,kernel: No mptable found.
180,kernel: On node 0 totalpages: <*>
181,kernel: PCI-DMA: Using software bounce buffering for IO (SWIOTLB)
182,kernel: PCI0 PALO PBLO VPR0 PBHI PICH
183,kernel: PCI: Probing PCI hardware (bus 00)
184,kernel: PCI: Setting latency timer of device <*> to 64
185,kernel: PCI: Transparent bridge - 0000:00:1e.0
186,kernel: PCI: Using <*> <*> <*>
187,kernel: PCI: cache line size of 128 is not supported by device 0000:00:1d.7
188,kernel: Placing software IO TLB between <*> - <*>
189,kernel: Probing IDE interface <*>
190,kernel: Processor <*> 15:4 APIC version 16
191,kernel: RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize
192,kernel: Real Time Clock Driver v1.12
193,kernel: SCSI device sda: <*> 512-byte hdwr sectors <*> MB)
194,kernel: SCSI subsystem initialized
195,kernel: SELinux: <*> <*> <*>
196,kernel: SELinux: Initializing.
197,kernel: SELinux: Starting in permissive mode
198,kernel: Security Scaffold v1.0.0 initialized
199,"kernel: Serial: 8250/16550 driver $Revision: 1.90 $ 8 ports, IRQ sharing enabled"
200,kernel: Setting APIC routing to flat
201,kernel: TCP: Hash tables configured (established 262144 bind 65536)
202,"kernel: There is already a security framework initialized, register_security failed."
203,"kernel: Total HugeTLB memory allocated, 0"
204,kernel: Total of 2 processors activated <*> BogoMIPS).
205,kernel: USB Universal Host Controller Interface driver v2.2
206,kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00alpha2
207,kernel: Using ACPI (MADT) for SMP configuration information
208,kernel: Using <*> APIC <*> <*>
209,kernel: Using cfq io scheduler
210,kernel: VFS: Disk quotas dquot_6.5.1
211,kernel: Warning: <*> returned 0!
212,kernel: <*> find a suitable network device; setting lid_base to 1
213,kernel: <*> NMI <*> ... <*>
214,kernel: <*> initialized
215,kernel: audit: initializing netlink socket (disabled)
216,kernel: checking TSC synchronization across 2 CPUs: passed.
217,kernel: checking if image is initramfs... it is
218,kernel: device-mapper: 4.4.0-ioctl (2005-01-12) initialised: dm-#16#@#17#
219,kernel: divert: allocating divert_blk for <*>
220,kernel: divert: not allocating divert_blk for non-ethernet device <*>
221,kernel: drivers/usb/input/hid-core.c: v2.0:USB HID core driver
222,kernel: e1000: <*> e1000_probe: Intel(R) PRO/1000 Network Connection
223,kernel: e1000: <*> e1000_watchdog: NIC Link is Up <*> Mbps Full Duplex
224,kernel: <*> <*> <*> Host Controller
225,"kernel: ehci_hcd 0000:00:1d.7: USB 2.0 enabled, EHCI 1.00, driver 2004-May-10"
226,"kernel: ehci_hcd 0000:00:1d.7: irq 193, pci mem <*>"
227,"kernel: <*> <*> new USB bus registered, assigned bus number <*>"
228,kernel: floppy0: no floppy controllers found
229,kernel: hub 1-0:1.0: <*> <*> <*>
230,kernel: hub 1-3:1.0: <*> <*> <*>
231,kernel: hub 2-0:1.0: <*> <*> <*>
232,kernel: hub 3-0:1.0: <*> <*> <*>
233,kernel: hub 4-0:1.0: <*> <*> <*>
234,kernel: hw_random hardware driver 1.0.0 loaded
235,kernel: <*> InfiniHost0 port <*>
